pid,local_id,parent,mods_genre_ms,Title
harleyspiller:49370,16-18-11,info:fedora/harleyspiller:MetadataReview11,menus,Hung Seng C.A.
harleyspiller:29325,16-18-12,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49320,16-18-12,info:fedora/harleyspiller:MetadataReview11,menus,Jau Wah
harleyspiller:29299,16-18-13,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49331,16-18-13,info:fedora/harleyspiller:MetadataReview11,menus,Jau Wah
harleyspiller:29316,16-18-14,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49328,16-18-14,info:fedora/harleyspiller:MetadataReview11,menus,Kam Fung
harleyspiller:29327,16-18-15,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49305,16-18-15,info:fedora/harleyspiller:MetadataReview11,menus,Kam Hing
harleyspiller:29346,16-18-16,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49385,16-18-16,info:fedora/harleyspiller:MetadataReview11,menus,Kam Hing
harleyspiller:29366,16-18-17,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49358,16-18-17,info:fedora/harleyspiller:MetadataReview11,menus,Kowloon
harleyspiller:29374,16-18-18,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49341,16-18-18,info:fedora/harleyspiller:MetadataReview11,menus,Kung Hey
harleyspiller:29360,16-18-19,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49376,16-18-19,info:fedora/harleyspiller:MetadataReview11,menus,Kuang Hua
harleyspiller:29342,16-18-2,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49334,16-18-2,info:fedora/harleyspiller:MetadataReview11,menus,Aventino
harleyspiller:29363,16-18-20,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49373,16-18-20,info:fedora/harleyspiller:MetadataReview11,menus,Lai Cen
harleyspiller:29372,16-18-21,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49348,16-18-21,info:fedora/harleyspiller:MetadataReview11,menus,Lai-King
harleyspiller:29306,16-18-22,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49338,16-18-22,info:fedora/harleyspiller:MetadataReview11,menus,Lai King
harleyspiller:29319,16-18-23,info:fedora/harleyspiller:MetadataReview9,,"4535 Beijing Quanjude Roast Duck Retaurant Name: mods_titleInfo_title_ms, dtype: object"
harleyspiller:49317,16-18-23,info:fedora/harleyspiller:MetadataReview11,menus,Meider
