local ID,Correct Document ID,person_name,Update_Person_Note_1,role,Update Role to ,Source Data from https://docs.google.com/spreadsheets/d/1FOGLzWUCnqeR9FoqH_sUAKdSa6-gG1Rc5ncKtoT5p4k/edit#gid=684112097,related_people_original
206.0,Carte_Turche_197,Eğriboz Kadısı,delete,Addressee,,,
207.0,Carte_Turche_198,Kristofolo Valir,"Valier, Cristoforo",undetermined,,,
209.0,Carte_Turche_20,Seyyid Ahmed,,undetermined,,,
208.0,Carte_Turche_20,Trablusşam Kadısı,delete,Addressee,,,
210.0,Carte_Turche_200,Kapudan Muhammed Paşa,Muhammed Paşa - Kapudan,Sender,,,
211.0,Carte_Turche_201,Lika Sancakbeyi,delete,Addressee,,,
213.0,Carte_Turche_202,Lika Beyi,delete,Addressee,,,
212.0,Carte_Turche_202,Sabıkan Bosna beylerbeyi olup ber vech-i arpalık ile Kilis Sancağına münakid olan İbrahim Paşa,İbrahim Paşa - Sabıkan Bosna Beylerbeyi,Addressee,,,
214.0,Carte_Turche_204,Aydın Sancakbeyi,delete,Addressee,,,
219.0,Carte_Turche_204,Ayşe hatun,,undetermined,,,
217.0,Carte_Turche_204,Nikola veled-i Matyo,,Mentioned,,,
218.0,Carte_Turche_204,Rindi,,undetermined,,,
215.0,Carte_Turche_204,Saruhan Sancakbeyi,delete,Addressee,,,
216.0,Carte_Turche_204,Yakmo veled-i Cevan,,undetermined,,,
221.0,Carte_Turche_206,Batişta Alberci,,Mentioned,,,
223.0,Carte_Turche_206,Hacı Arslan ibn Hacı Durbani,,undetermined,,,
220.0,Carte_Turche_206,İzeppo Borgeti,,undetermined,,,
222.0,Carte_Turche_206,Nikola veled-i Corci,,undetermined,,,
224.0,Carte_Turche_208,Ayamavra kalesi Dizdarları,delete,Addressee,,,
225.0,Carte_Turche_209,Muhammed Bey,,undetermined,,,
227.0,Carte_Turche_21,Hristofolu (dragoman),,undetermined,,,
229.0,Carte_Turche_21,Mansur oğlu Mehmed Bey,,undetermined,,,
228.0,Carte_Turche_21,Mentioned,delete,undetermined,,,
226.0,Carte_Turche_21,Sermin Kadısı,delete,Addressee,,,
230.0,Carte_Turche_210,Aydonat Kadısı,delete,Addressee,,,
232.0,Carte_Turche_210,Dimo,delete,undetermined,,,
237.0,Carte_Turche_210,Franko,,Mentioned,,,
233.0,Carte_Turche_210,Kosta,,undetermined,,,
235.0,Carte_Turche_210,Maro,,Mentioned,,,
231.0,Carte_Turche_210,Muhammed,,undetermined,,,
238.0,Carte_Turche_210,Paulo,,Mentioned,,,
236.0,Carte_Turche_210,the other Totori,delete,undetermined,,,
234.0,Carte_Turche_210,Totori Bo(me)snedin,,undetermined,,,
240.0,Carte_Turche_212,Boğazhisarları Dizdarları,delete,Addressee,,,
241.0,Carte_Turche_212,Koronlu Müslü Reis,,,,,
239.0,Carte_Turche_212,zikr olunan sancaklarda olan kadılar,delete,Addressee,,,
242.0,Carte_Turche_213,Otovyan Bon,,Mentioned,,,
244.0,Carte_Turche_215,Mustafa Paşa,,undetermined,,,
243.0,Carte_Turche_215,Nova Kalesi Dizdarı,delete,Addressee,,,
246.0,Carte_Turche_216,Eğriboz dalında Golos ve sair havas-ı hümayun olan yerlerin kadıları,delete,Addressee,,,
245.0,Carte_Turche_216,Eğriboz dalında Golos ve sair havas-ı hümayun olan yerlerin müfettişleri,delete,Addressee,,,
247.0,Carte_Turche_216,Matyo Sovinka Reis,,undetermined,,,
248.0,Carte_Turche_218,Kisno (reis),,undetermined,,,
249.0,Carte_Turche_219,Veli Hasan,,undetermined,,,
250.0,Carte_Turche_22,Mahmud (ex-defterdar of Haleb and present deftardar of Egypt),Mahmud - Sabıkan Haleb müteakiben Mısır defterdarı,undetermined,,,
251.0,Carte_Turche_22,Mustafa Çavuş ibn İskender (the representative of the merchants),Mustafa ibn İskender - the representative of the merchants,Mentioned,,,
252.0,Carte_Turche_220,Davud,,,,,
253.0,Carte_Turche_223,"Kapudan Muhammed Pa, şa",Muhammed Paşa - Kapudan,Sender,,,
254.0,Carte_Turche_225,Batişta,,undetermined,,,
255.0,Carte_Turche_225,Can Poladoğlu,,Mentioned,,,
258.0,Carte_Turche_225,Hamid,,Mentioned,,,
256.0,Carte_Turche_225,Kör Kasım,,undetermined,,,
259.0,Carte_Turche_225,Miraz,,Mentioned,,,
257.0,Carte_Turche_225,Zanpori,,undetermined,,,
260.0,Carte_Turche_226,İzippo veled-i Borgud,,undetermined,,,
261.0,Carte_Turche_227,Karaginiko Donazlo,,undetermined,,,
262.0,Carte_Turche_227,Yafi Reis,,,,,
263.0,Carte_Turche_228,Alvize Davila,,undetermined,,,
264.0,Carte_Turche_229,Davud Paşa,,Mentioned,,,
265.0,Carte_Turche_232,Diraç kalesi dizdarı,delete,Addressee,,,
266.0,Carte_Turche_232,İzoppo Borgoti,,undetermined,,,
269.0,Carte_Turche_233,"Mehmed Bey, sancakbeyi of Dukagin",Mehmed Bey - Dukagin Sancakbeyi,undetermined,,,
267.0,Carte_Turche_233,Mısır kadısı,delete,Addressee,,,
268.0,Carte_Turche_233,Porte (Maliye),delete,Sender,,,
270.0,Carte_Turche_234,Mısır defterdarına,delete,Addressee,,,
271.0,Carte_Turche_234,Porte (maliye),delete,Sender,,,
274.0,Carte_Turche_237,Alvini Totori (Dodori),,Mentioned,,,
272.0,Carte_Turche_237,Mevlana Abdurrahman,,undetermined,,,
273.0,Carte_Turche_237,Sinan Bey,,undetermined,,,
275.0,Carte_Turche_238,Kapudan Paşa Mehmed,Mehmed Paşa - Kapudan,Sender,,,
276.0,Carte_Turche_24,Trablusşam kadısı,delete,Addressee,,,
277.0,Carte_Turche_240,"MustafaHalil, Lika sancağı beyi",Mustafa Halil - Lika Sancakbeyi,undetermined,,,
278.0,Carte_Turche_241,Mustafa Paşa Felipo Paskaliko,"Pasqualigo, Filippo",undetermined,,,
279.0,Carte_Turche_242,Halil Bey,,undetermined,,,
280.0,Carte_Turche_243,Halil bey,,undetermined,,,
281.0,Carte_Turche_245,Mustafa bey Cafer,Either Mustafa or Cafer Bey OR Mustafa bin Cafer?,,,,
282.0,Carte_Turche_246,İskenderun Kadısı,delete,Addressee,,,
285.0,Carte_Turche_250,İbrahim Paşa,,undetermined,,,
284.0,Carte_Turche_250,Kapudan Mehmed Paşa,Mehmed Paşa - Kapudan,Sender,,,
283.0,Carte_Turche_250,Nova Dizdarı,delete,Addressee,,,
286.0,Carte_Turche_251,Yençeri ağası,delete,Sender,,,
287.0,Carte_Turche_252,Memi,,undetermined,,,
288.0,Carte_Turche_253,Sabıkan Bosna beylerbeyisi olup hala ber vech-i arpalık Hersek sancağına mutasarrıf olan İbrahim Paşa,İbrahim Paşa - Sabıkan Bosna Beylerbeyi ve Hersek Sancağı Mutasarrıfı,Sender,,,
292.0,Carte_Turche_255,Elvend oğlu Ali,,Mentioned,,,
293.0,Carte_Turche_255,"Paşa Mehmed, defterdar",Mehmed Paşa - Defterdar,undetermined,,,
289.0,Carte_Turche_255,Trablus Beylerbeyi,delete,Addressee,,,
291.0,Carte_Turche_255,Trablus Defterdarı,delete,Addressee,,,
290.0,Carte_Turche_255,Trablus Kadısı,delete,undetermined,,,
295.0,Carte_Turche_256,Keşuri,delete,undetermined,,,
294.0,Carte_Turche_256,Sultan İbrahim,,Mentioned,,,
296.0,Carte_Turche_257,Vezir-i Azam Nasuh Paşa,Nasuh Paşa - Vezir-i Azam,Sender,,,
297.0,Carte_Turche_258,Nasuh Paşa,,undetermined,,,
298.0,Carte_Turche_26,Mehmed Bey,,undetermined,,,
300.0,Carte_Turche_261,Bedika,,Mentioned,,,
299.0,Carte_Turche_261,Müftü or kadı,delete,Sender,,,
301.0,Carte_Turche_262,Vezir-i Azam Nasul Paşa,Nasuh Paşa - Vezir-i Azam,Sender,,,
302.0,Carte_Turche_263,Kudüs-i Şerif Kadısı,delete,Addressee,,,
303.0,Carte_Turche_264,Şeyh Ali,,undetermined,,,
304.0,Carte_Turche_267,Vezir-i Azam NasuH Paşa,Nasuh Paşa - Vezir-i Azam,Sender,,,
305.0,Carte_Turche_268,Kudüs Kadısı,delete,Addressee,,,
308.0,Carte_Turche_27,Mehmed bey ibn Mansur,,undetermined,,,
307.0,Carte_Turche_27,Trablusşam Defterdarı,delete,Addressee,,,
306.0,Carte_Turche_27,Trablusşam Sancakbeyi,delete,Addressee,,,
309.0,Carte_Turche_271,Boğazhisar dizdarları,delete,Addressee,,,
313.0,Carte_Turche_272,Bernardo,,undetermined,,,
